,Company Name,Company Url
0,Zibtek,zibtek.com
1,LTI,l-tike.com
2,Siemens,siemens.com
3,Infosys,infosys.com
4,LTI,l-tike.com
5,Fresher,fresherslive.com
6,Fresher,fresherslive.com
7,Gyanmanjari Institute of Technology,nan
8,First Student,workatfirst.com
9,Mojocare,mojocare.com
10,Microsec,microsecondnews.com
11,Qualcomm Technologies,nan
12,TouchPoint Support Services,iamtouchpoint.com
13,Accenture,accenture.com
14,FreshersLive,fresherslive.com
15,PythonAnywhere,pythonanywhere.com
16,Mahalaxmi Industries,nan
17,Zapiot Technologies,zapiot.com
18,Shell,shell.com
19,314e,ebay.com
20,Flipkart,flipkart.com
21,GE,genius.com
22,Conduent,conduent.com
23,MMACH Design,mmachdesign.com
24,JB Boda & Company,jbbodagroup.com
25,Intel Corporation,nan
26,Jupiter Money,jupiter.money
27,FireEye,fire-eye.com
28,Headrun Technologies,nan
29,Tesco,tesco.com
30,MakeMyTrip,makemytrip.com
31,PayPal,paypal.com
32,Goldman Sachs,goldmansachs.com
33,Amazon,amazon.com
34,Self,self.com
35,Cyware,cyware.com
36,Quinbay,quinbay.com
37,Publicis Sapient,publicissapient.com
38,SAP,concursolutions.com
39,Micro Focus,microfocus.com
40,Arvind,arvind.com
41,TestVagrant,testvagrant.com
42,MediBuddy,medibuddy.in
43,MediBuddy,medibuddy.in
44,Target,target.com
45,Nineleaps Technology Solutions,nan
46,NextGen Healthcare,nextgen.com
47,OneDirect (India),nan
48,XYZ (Turkey),nan
49,XYZ,xyzhomework.com
50,OYO,oyorooms.com
51,Licious,licious.in
52,Cisco Systems,nan
53,Attivo Networks,nan
54,Jumbotail,jumbotail.com
55,Juniper Networks,juniper.net
56,SonicWall,sonicwall.com
57,Hewlett-Packard,hpe.com
58,Microsoft,office.com
59,Hewlett Packard Enterprise | HPE,nan
60,Verifone,verifone.com
61,ZestMoney,zestmoney.in
62,Altair Engineering,altair.com
63,Oracle,oracle.com
64,Ola,olasjobs.org
65,Increff,increff.com
66,Trellix,trellix.com
67,TestVagrant,testvagrant.com
68,Ola,olasjobs.org
69,Publicis Sapient,publicissapient.com
70,SAP,concursolutions.com
71,Datami,dataminr.com
72,HARMAN,harman.com
73,McAfee,mcafee.com
74,Signify,signifyd.com
75,Fisdom,fisdom.com
76,Khosla Labs,nan
77,Gojek,gojek.com
78,LeadSquared,leadsquared.com
79,AppBroda Tech,nan
80,Arcesium,arcesium.com
81,Supermarket Grocery Supplies,nan
82,Shubham Housing Development Finance,shubham.co
83,InViz AI Solutions,nan
84,Motogo,motogon.ru
85,NIT Patna,nitp.ac.in
86,Jason's Deli,jasonsdeli.com
87,Indira Gandhi Delhi Technical University for Women,nan
88,Tata CLiQ,tatacliq.com
89,Betterhalf,betterhalf.ai
90,Sasken,sasken.com
91,Advanced Millennium Technologies,amt.in
92,Unacademy,unacademy.com
93,SnapBizz Cloudtech,snapbizz.com
94,Appoids Tech Solutions,nan
95,Freelancer,freelancer.com
96,SQUARE N CUBE,nan
97,Samsung R&D Institute India - Bangalore,samsungrepair.com
98,DXMinds Technologies,nan
99,Endeavour Software Technologies,nan
100,Craft Silicon,craftsilicon.com
101,Baronford & Associates,nan
102,Wibmo,wibmo.co
103,Retail Pulse,retailpulse.ai
104,Bookmyshow,bookmyshow.com
105,Knowledge Flex,knowledgeflex.com
106,Novopay Solutions,nan
107,WealthEngine,wealthengine.com
108,J.P. Morgan,jpmorgan.com
109,Acviss,acviss.com
110,Fresher,fresherslive.com
111,MedOnGo,medongo.com
112,Nuclei,gonuclei.com
113,eSecForte Technologies,esecforte.com
114,Moveinsync Technology Solutions,nan
115,Tech Mahindra,techmahindra.com
116,ThiDiff Technologies,thidiff.com
117,Retranz Infolabs,nan
118,FicusLot,ficuslot.com
119,KrazyBee,krazybee.jp
120,powerplay app,nan
121,Dcoder,dcoder.tech
122,Masai School,masaischool.com
123,Integra Micro Software Services (P),nan
124,DocsApp,docsapp.in
125,Vispara Technosoft,visparatechnosoft.com
126,Vmoksha Technologies,vmokshagroup.com
127,Artoo,artoonsolutions.com
128,Edelweiss Financial Services,nan
129,Hubbler,hubblerapp.com
130,L&T Technology Services,linkedin.com
131,Rossitek Mobile Apps Development,nan
132,Pricyfy,pricyfy.com
133,MYNEWCAR,mynewcar.in
134,IBM,ibm.com
135,Panel Coder Software Technologies,nan
136,Knitter,knitterspride.com
137,3Embed Software Technologies,3embed.com
138,Web Digital Mantra,webdigitalmantra.in
139,FitnyTech,fitnytech.in
140,CRK Gida Technologies,gida.in
141,FuGenX Technologies,fugenx.com
142,Outthinking,outthinkingindia.com
143,iMars Technologies,imarstech.com
144,GreedyGame,greedygame.com
145,In Time Tec,intimetec.com
146,IndGlobal,indglobal.in
147,CYBERNETYX Interaktiv,nan
148,Karabi Software,karabisoftware.com
149,Keyfalcon Solutions,keyfalconsolutions.com
150,ABCDEF,abcdefensivedriving.net
151,Cumulations Technologies,cumulations.com
152,Dcoder,dcoder.tech
153,powerplay app,nan
154,Fembuddy,fembuddy.com
155,Blewsoft Technologies,nan
156,Across The Globe,atgcf.org
157,HARMAN,harman.com
158,Oust Labs,oustlabs.com
159,Kaskeid Designs,nan
160,TruKKer Technologies,nan
161,Datamatics Global Services,nan
162,Grabhouse,nan
163,Msewa Software Solution,nan
164,Honeywell,honeywell.com
165,Prematix Software Solution,prematix.com
166,Provab Technosoft,provab.com
167,Ai-Connect,aiconnectedsolutions.com
168,Idea infinity IT Solutions,ideainfinityit.com
169,Developer On Rent,developeronrent.com
170,OZOPROP Technologies,nan
171,ThinkTac,thinktac.com
172,Ashwin Infotrron,ashwininfotrron.in
173,Housejoy,nan
174,Proven Solution,provensolution.com
175,Blooms Mobility Technologies,nan
176,DT Consulting,dt-consulting.com
177,Kartel Technosoft,karteltechnosoft.com
178,Philips,philips.com
179,Vensure Employer Services,nan
180,Siemens,siemens.com
181,Fresher,fresherslive.com
182,K12 Techno Services,k12technoservices.com
183,myGate,mygate.com
184,Moonraft Innovation Labs,moonraft.com
185,Recro,recroom.com
186,Appiness Interactive,appinessworld.com
187,Playment,playmental.com
188,DXC Technology,dxc.com
189,PwC,pwc.com
190,Mindtree,mindtreecanada.ca
191,Tata Consultancy Services (North America),nan
192,TCS,tcs.com
193,Nones,nonesuch.com
194,EMPLOYERS,employers.com
195,Fidelity Investments,fidelity.com
196,Happiest Minds Technologies,happiestminds.com
197,Test,test-guide.com
198,Datamatics Global Services,nan
199,HashedIn by Deloitte,nan
200,Epsilon,epsilon.com
201,ClearTax,cleartax.in
202,Bookmyshow,bookmyshow.com
203,MountBlue Technologies,mountblue.io
204,Soroco,soroco.com
205,Geekyants Software,nan
206,Terralogic,terralogic.com
207,i-exceed technology solutions,i-exceed.com
208,Headout,headout.com
209,Locus,locusmag.com
210,Shaw Academy,shawacademy.com
211,Masai School,masaischool.com
212,Xelpmoc Design & Tech,xelpmoc.in
213,CoWrks,cowrks.com
214,Fisdom,fisdom.com
215,Provab Technosoft,provab.com
216,CognitiveClouds,cognitiveclouds.com
217,Artivatic Data Labs,nan
218,VuNet Systems,vunetsystems.com
219,Checktronix,nan
220,triSys IT Services,trisysit.com
221,Cartoon Mango,cartoonmango.com
222,SpotDraft,spotdraft.com
223,Marmeto,marmeto.com
224,PhaseZero Ventures,nan
225,iOSys,iosys.co.jp
226,Panorbit,panorbit.in
227,Maistering,maistering.com
228,Zersys Technologies,zersys.com
229,Amplus,amplussolar.com
230,Hop financial solutions,nan
231,Machstatz,machstatz.com
232,Data Ratings Intelligence,nan
233,Tata Consultancy Services,tcs.com
234,Accenture,accenture.com
235,HCL Technologies,hclsrilanka.com
236,Oracle,oracle.com
237,BYJU'S,byjusfutureschool.com
238,First Student,workatfirst.com
239,Fresher,fresherslive.com
240,HARMAN,harman.com
241,Zomato,zomato.com
242,Self Opportunity,selfopportunity.com
243,XYZ,xyzhomework.com
244,TATA ELXSI,tataelxsi.com
245,Sopra Steria,soprasteria.com
246,Philips,philips.com
247,Ola,olasjobs.org
248,Vedantu,vedantu.com
249,ABCDEF,abcdefensivedriving.net
250,ABB,abbvie.com
251,HP Inc.,hpincket.com
252,[24]7.ai,airbnb.com
253,Huawei Technologies,nan
254,Anonymous,anonhq.com
255,Anonymous,anonhq.com
256,Shell,shell.com
257,Shell,shell.com
258,XYZ (Turkey),nan
259,Walmart,walmart.com
260,JLL,jll.com
261,Virtual Employee,virtualemployee.com
262,Sonata Software,sonata-software.com
263,Decathlon,decathlon.fr
264,Intuit,intuit.com
265,Visa Inc.,nan
266,Infinite Computer Solutions,infinite.com
267,Walmart Global Tech,nan
268,Manhattan Associates,manh.com
269,Brillio,brillio.com
270,Tata Consultancy Services,tcs.com
271,Cognizant Technology Solutions,cognizant.co
272,HCL Technologies,hclsrilanka.com
273,Full Creative,full.io
274,Sans Pareil IT Services,nan
275,DLK Technologies,dlktech.co.in
276,Infoview Technologies Pvt Limited,nan
277,Infosys,infosys.com
278,Wipro,healthplan.com
279,Capgemini,capgemini.com
280,Virtusa,virtusa.com
281,GOFRUGAL Technologies,gofrugal.com
282,Colan Infotech,colaninfotech.com
283,Ravsoft Solutions,ravsoftsolutions.com
284,Softlogic Systems,joinsla.com
285,Accenture,accenture.com
286,IBM,ibm.com
287,DXC Technology,dxc.com
288,Zoho,zoho.com.cn
289,Hewlett Packard Enterprise | HPE,nan
290,Intellect Design Arena,nan
291,Servion Global Solutions,nan
292,AnywhereWorks,anywhereworks.com
293,Solartis,solartis.com
294,SRM Technologies,srmtech.com
295,Urjanet,urjanet.com
296,Surya Informatics,suryainformatics.com
297,FinaTel,finateltech.com
298,Spiro Solutions,nan
299,7Eleven Arthasastra Technology,nan
300,1 Crore Projects,1croreprojects.com
301,Intecminds,intecminds.com
302,Cognizant Technology Solutions,cognizant.co
303,Tech Mahindra,techmahindra.com
304,Google,google.com
305,Freelancer,freelancer.com
306,Atos-Syntel,atos-syntel.net
307,Tata Consultancy Services (North America),nan
308,CGI,cgi.com
309,FIS,fisglobal.com
310,Atos,atos.net
311,CSC,cscc.edu
312,Newgen Software,newgensoft.com
313,CSS Corporation,nan
314,TEKsystems,teksystems.com
315,PayPal,paypal.com
316,Renault Nissan Technology & Business Centre,rntbci.in
317,Bharat Electronics,beil.co.in
318,Altimetrik,altimetrik.com
319,Microland,microland.com
320,Fujitsu,fujitsu.com
321,IIT Madras,iitmaa.org
322,Photon,photo.net
323,Capgemini Invent,nan
324,Infoview Technologies Pvt Limited,nan
325,Polaris FT,polarisft.com
326,Ramco Systems,ramco.com
327,Tata,tcs.com
328,Mahindra Satyam,mahindrasatyam.com
329,HTC Global Services,nan
330,Magna Infotech,magna.in
331,2COMS,comsol.com
332,Diverse Lynx,diverselynx.com
333,Ideas2IT,ideas2it.com
334,ACL Digital,acldigital.com
335,Financial Software & Systems,fss.com.vn
336,Amara Raja,amararaja.com
337,Lister Technologies,nan
338,Josh Technology Group,joshtechnologygroup.com
339,Startup,startupindia.gov.in
340,Kumaran Systems,kumaran.com
341,Object Frontier,object-frontier.com
342,Dun & Bradstreet,dnb.com
343,JAVA,javatpoint.com
344,Bahwan CyberTek,bahwancybertek.com
345,Experis,experis.com
346,Volante Technologies,volantetech.com
347,Urjanet,urjanet.com
348,Arjun,arjunphp.com
349,Chain-Sys,chainsys.com
350,Suresh Surana & Associates,nan
351,AVASOFT,avasoft.com
352,CBSI Global,cbsiglobal.com
353,NewtGlobal,newtglobal.com
354,Royal Cyber Inc.,nan
355,SysArc Infomatix,sysarcinfomatix.com
356,Antal International,antal.com
357,NIC,niche.com
358,DTCC,dtcc.edu
359,Ninestars Information Technologies,nan
360,Infosys,infosys.com
361,Cigniti Inc.,nan
362,Wipro,healthplan.com
363,Tata Consultancy Services,tcs.com
364,ZenQ,zenqms.com
365,Ivy,ivytech.edu
366,Accenture,accenture.com
367,Tech Mahindra,techmahindra.com
368,AVEVA,aveva.com
369,Capgemini,capgemini.com
370,Test,test-guide.com
371,Cognizant Technology Solutions,cognizant.co
372,HCL Technologies,hclsrilanka.com
373,Pole To Win,ptw-i.com
374,Wipro Technologies,nan
375,UnitedHealth Group,unitedhealthgroup.com
376,Prolifics,prolifics.com
377,CGI,cgi.com
378,IBM,ibm.com
379,Oracle,oracle.com
380,ValueLabs,valuelabs.com
381,Pole To Win,ptw-i.com
382,DXC Technology,dxc.com
383,CSC,cscc.edu
384,Teradata,teradata.com
385,Optum,optum.com
386,Marquistech,marquistech.com
387,Infosys BPM,infosysbpm.com
388,Qvantel,qvantel.com
389,Fresher,fresherslive.com
390,TCS,tcs.com
391,Birlasoft,birlasoft.com
392,Accolite Digital,nan
393,Google,google.com
394,Qualcomm,qualcomm.com
395,A&A Innovative Solutions,adobe.com
396,EdgeVerve Systems,nan
397,TES Engineering,tesengineering.com
398,Tester Work,testerwork.com
399,Enhops,enhops.com
400,mroads,mroads.com
401,IMImobile,nan
402,Deloitte,deloitte.com
403,Pervacio,pervacio.com
404,DBS Bank,dbs.com.sg
405,Memorex,memorex.com
406,Optum Global Solutions,nan
407,vSplash Techlabs,nan
408,Kony,konyang.ac.kr
409,Franklin Templeton Investments,nan
410,Tech Mahindra,techmahindra.com
411,Yash Technologies,yash.com
412,Netxcell,netxcell.com
413,test,test-guide.com
414,ValueMomentum,valuemomentum.com
415,TecFinics,tecfinics.com
416,VotaryTech,votarytech.com
417,UV Infratech Systems,nan
418,Infosys,infosys.com
419,ADP,adp.com
420,Wipro,healthplan.com
421,TIBCO Software,informationbuilders.com
422,Deloitte,deloitte.com
423,People Link Unified Communications,nan
424,Tata Consultancy Services,tcs.com
425,Mahindra Satyam,mahindrasatyam.com
426,Fresher,fresherslive.com
427,Broadridge,broadridge.com
428,Anonymous Content,anonymouscontent.com
429,QO-BOX,qo-box.com
430,Test,test-guide.com
431,Rythmos,rythmoshome.com
432,AGS Infotech limited,agsinfotech.biz
433,Planon,planonsoftware.com
434,NCR,ncr.com
435,Freelancer,freelancer.com
436,Test,test-guide.com
437,V-Soft Consulting Group,nan
438,Volante Technologies,volantetech.com
439,Attra,attracta.com
440,Test,test-guide.com
441,Aditya Enterprises,adityaent.in
442,Dhatri Info Solutions,dhatriinfo.com
443,XYZ (Turkey),nan
444,Pactera,pactera.com
445,Artha Net Support Centre,nan
446,Agility,agilitypr.com
447,Smarts Choice It Technologies Solutions,nan
448,Promaestro Techsource,nan
449,Intertek,intertek.com
450,Snyxius,nan
451,Krafty Solutions,krafty.in
452,PurpleSense Digital Solutions,nan
453,Cognizant Technology Solutions,cognizant.co
454,LTI,l-tike.com
455,Mphasis,mphasis.com
456,Honeywell,honeywell.com
457,SAP,concursolutions.com
458,Robert Bosch India,nan
459,Paytm,paytm.com
460,ITC Infotech,itcinfotech.com
461,IBM India,nan
462,IQVIA,iqvia.com
463,KPIT Technologies,nan
464,HARMAN,harman.com
465,Thomson Reuters,thomsonreuters.com
466,Verizon,verizon.com
467,Verizon,verizon.com
468,Ola,olasjobs.org
469,Walmart,walmart.com
470,Test,test-guide.com
471,Altimetrik,altimetrik.com
472,NIIT,niit.com
473,Brillio,brillio.com
474,Apple,apple.com
475,TeamLease Staffing Solutions,nan
476,Allstate India,allstateindia.com
477,Talent Zone Consultants,nan
478,Directi,directindustry.com
479,Diverse Lynx,diverselynx.com
480,Bookmyshow,bookmyshow.com
481,Chandigarh University,cuchd.in
482,Landmark Group,landmarkgroup.com
483,smartData Enterprises,smartdatainc.com.au
484,Sears,sears.com
485,Gojek,gojek.com
486,EVRY India,nan
487,Kuliza Technology,nan
488,Mobile Programming,mobileprogramming.com
489,Goibibo,goibibo.com
490,FreeCharge,freecharge.in
491,Hike,hikersbay.com
492,Synchronoss,synchronoss.com
493,Rao IIT Academy,raoiit.com
494,DynPro,dynpro.com
